service_id,date,exception_type
L0S1,20250821,1
L0S1 -1,20250820,1
L0S2,20250822,1
L0S2 -1,20250821,1
L0S3,20250823,1
L0S4,20250824,1
L0S5,20250825,1
L0S6,20250826,1
L0S7,20250827,1
L0S8,20250828,1
L0S9,20250829,1
L1S1,20250821,1
L1S2,20250822,1
L1S3,20250824,1
L1S4,20250825,1
L1S5,20250826,1
L1S6,20250827,1
L1S7,20250828,1
L1S8,20250829,1
L2S1,20250821,1
L2S2,20250822,1
L2S3,20250825,1
L2S4,20250826,1
L2S5,20250827,1
L2S6,20250828,1
L2S7,20250829,1
L3S1,20250821,1
L3S2,20250826,1
L3S3,20250827,1
L3S4,20250828,1
L3S5,20250829,1
Saturday_C1,20250823,2
Sunday,20250901,1
Sunday_C4,20250824,2
Sunday_C4,20250901,1
Weekday,20250901,2
Weekday_C10,20250821,2
Weekday_C10,20250822,2
Weekday_C10,20250901,2
Weekday_C19,20250821,2
Weekday_C19,20250901,2
Weekday_C2,20250821,2
Weekday_C2,20250822,2
Weekday_C2,20250825,2
Weekday_C2,20250826,2
Weekday_C2,20250827,2
Weekday_C2,20250828,2
Weekday_C2,20250829,2
Weekday_C2,20250901,2
Weekday_C3,20250821,2
Weekday_C3,20250822,2
Weekday_C3,20250901,2
